_id,endTime,podcastName,episodeName,msPlayed
6613f649aacd8fc35bce7d42,2024-01-19 12:27,História em Meia Hora,Grandes Navegações,1845991
6613f649aacd8fc35bce7d43,2024-01-19 12:27,História em Meia Hora,A Primeira Guerra Mundial,19008
6613f649aacd8fc35bce7d44,2024-01-19 12:27,História em Meia Hora,Renascimento Cultural,820
6613f649aacd8fc35bce7d45,2024-01-25 21:50,História em Meia Hora,A Primeira Guerra Mundial,2025709
6613f649aacd8fc35bce7d46,2024-02-04 23:25,Meditação Guiada,Meditação Guiada para Renovação 💫,19190
6613f649aacd8fc35bce7d47,2024-02-04 23:26,Meditação Guiada - Yoga & Terapia - Adriana Ricci ,Meditação Limpeza Energética. ,29890
6613f649aacd8fc35bce7d48,2024-02-05 00:32,Camila Zen,MEDITAÇÃO | Para terminar o dia e dormir bem,659970
6613f649aacd8fc35bce7d49,2024-02-05 21:46,History of the World podcast,Vol 1 Ep 1 - Introduction to the Prehistoric World,2053848
6613f649aacd8fc35bce7d4a,2024-02-27 21:57,História em Meia Hora,Getúlio Vargas,2011783
6613f649aacd8fc35bce7d4b,2024-02-27 21:57,História em Meia Hora,Hiroshima e Nagasaki,4613
6613f649aacd8fc35bce7d4c,2024-03-21 01:59,História em Meia Hora,Hiroshima e Nagasaki,1981093
6613f649aacd8fc35bce7d4d,2024-03-21 02:00,História em Meia Hora,Hiroshima e Nagasaki,13896
6613f649aacd8fc35bce7d4e,2024-03-21 02:01,História em Meia Hora,Revoltas Regenciais,302
6613f649aacd8fc35bce7d4f,2024-03-21 02:02,História em Meia Hora,Hiroshima e Nagasaki,1161
6613f649aacd8fc35bce7d50,2024-03-22 02:20,História em Meia Hora,Revoltas Regenciais,1963892
6613f649aacd8fc35bce7d51,2024-03-26 01:59,História em Meia Hora,A História do Carnaval,581
6613f649aacd8fc35bce7d52,2024-03-26 01:59,História em Meia Hora,Pré-História,1838043
6613f649aacd8fc35bce7d53,2024-03-26 02:00,História em Meia Hora,Pré-História,1808
6613f649aacd8fc35bce7d54,2024-03-27 02:17,História em Meia Hora,A História do Carnaval,1941789
6613f649aacd8fc35bce7d55,2024-03-28 02:02,História em Meia Hora,A Proclamação da República,2200512
6613f649aacd8fc35bce7d56,2024-04-01 16:24,Geografia em Meia Hora,"Talibã, Afeganistão e EUA",181760
