_id,endTime,artistName,trackName,msPlayed
6613f62aaacd8fc35bce4c18,2023-04-05 14:40,Queen,Somebody To Love - Remastered 2011,296480
6613f62aaacd8fc35bce4c19,2023-04-05 14:47,David Bowie,Heroes - 2017 Remaster,371413
6613f62aaacd8fc35bce4c1a,2023-04-05 14:51,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",281613
6613f62aaacd8fc35bce4c1b,2023-04-05 14:55,Eric Clapton,Wonderful Tonight,225026
6613f62aaacd8fc35bce4c1c,2023-04-05 14:59,Fleetwood Mac,Dreams - 2004 Remaster,257800
6613f62aaacd8fc35bce4c1d,2023-04-05 15:00,The Rolling Stones,Wild Horses - 2009 Mix,30794
6613f62aaacd8fc35bce4c1e,2023-04-05 16:28,The Rolling Stones,Wild Horses - 2009 Mix,311008
6613f62aaacd8fc35bce4c1f,2023-04-05 16:30,Bob Dylan,Knockin' On Heaven's Door,149880
6613f62aaacd8fc35bce4c20,2023-04-05 16:39,Billy Joel,Piano Man,126200
6613f62aaacd8fc35bce4c21,2023-04-05 21:20,Billy Joel,Piano Man,209910
6613f62aaacd8fc35bce4c22,2023-04-05 21:24,George Harrison,My Sweet Lord - 2014 Remaster,281231
6613f62aaacd8fc35bce4c23,2023-04-05 21:28,Jackson Browne,Doctor My Eyes,199906
6613f62aaacd8fc35bce4c24,2023-04-05 21:32,Fleetwood Mac,Dreams - 2004 Remaster,257800
6613f62aaacd8fc35bce4c25,2023-04-05 21:35,Kansas,Dust in the Wind,206266
6613f62aaacd8fc35bce4c26,2023-04-05 21:40,The Beatles,Let It Be - Remastered 2009,243026
6613f62aaacd8fc35bce4c27,2023-04-05 21:43,Eric Clapton,Wonderful Tonight,225026
6613f62aaacd8fc35bce4c28,2023-04-05 21:47,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
6613f62aaacd8fc35bce4c29,2023-04-05 21:50,Neil Young,Heart Of Gold,188440
6613f62aaacd8fc35bce4c2a,2023-04-05 21:53,Kansas,Dust in the Wind,206266
6613f62aaacd8fc35bce4c2b,2023-04-05 21:56,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
6613f62aaacd8fc35bce4c2c,2023-04-05 22:03,David Bowie,Heroes - 2017 Remaster,371413
6613f62aaacd8fc35bce4c2d,2023-04-05 22:06,Kansas,Dust in the Wind,206266
6613f62aaacd8fc35bce4c2e,2023-04-05 22:09,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
6613f62aaacd8fc35bce4c2f,2023-04-05 22:13,David Bowie,Heroes - 2017 Remaster,245456
6613f62aaacd8fc35bce4c30,2023-04-06 01:21,David Bowie,Heroes - 2017 Remaster,126053
6613f62aaacd8fc35bce4c31,2023-04-06 01:25,Kansas,Dust in the Wind,206266
6613f62aaacd8fc35bce4c32,2023-04-06 01:28,Fleetwood Mac,Don't Stop - 2004 Remaster,193346
6613f62aaacd8fc35bce4c33,2023-04-06 01:35,David Bowie,Heroes - 2017 Remaster,371413
6613f62aaacd8fc35bce4c34,2023-04-06 01:36,Kansas,Dust in the Wind,74768
6613f62aaacd8fc35bce4c35,2023-04-06 01:40,Sleeping At Last,Chasing Cars,242564
6613f62aaacd8fc35bce4c36,2023-04-06 01:44,Sleeping At Last,Dark Horse,221266
6613f62aaacd8fc35bce4c37,2023-04-06 01:46,Sleeping At Last,You've Got a Friend in Me,151577
